category,expiration_date,name,price,product_id,production_date,quantity,rating,status,price_in_$
Напитки,2029-03-16,Пиво безалкогольное,8912,281,1997-01-02,644,1.87,Returned,839866.88
Фрукты,2019-02-10,Манго,4910,282,2011-02-16,236,2.99,Delivered,462718.39999999997
Напитки,2028-03-04,Обуховская,8327,283,2011-05-14,676,3.82,Awaiting Review,784736.48
Товары для дома,2021-12-01,Пакеты для походов,6987,284,2019-04-01,47,0.62,Shipping,658454.88
Напитки,2022-03-09,Энергетический напиток,279,285,2017-03-05,764,4.62,In Stock,26292.96
Молочные продукты,2021-02-02,Камамбер,5645,286,2013-05-02,217,3.99,Cancelled,531984.7999999999
Мясо,2025-10-09,Фахитас с мясом,2220,287,1997-01-08,42,4.11,Awaiting Payment,209212.8
Мясо,2015-02-02,Сэндвичи с ветчиной,2623,288,2002-02-01,708,0.59,Available for Pickup,247191.52
Мясо,2021-02-03,Тако с мясом,3554,289,2016-01-25,565,1.48,Pending,334928.95999999996
Молочные продукты,2021-03-01,Мороженое,9364,290,2019-05-06,819,0.21,Sold,882463.36
Фрукты,2023-11-20,Смородина,6420,291,2016-12-02,843,0.21,On Backorder,605020.7999999999
Мясо,2028-01-02,Роллы с мясом,9542,292,1993-04-17,174,3.91,Shipping,899238.08
Мясо,2025-03-05,Куриные бедра,2651,293,2022-04-09,652,0.89,Sold,249830.24
Бакалея,2025-01-24,Пастила,2896,294,2022-05-04,135,4.43,Temporarily Unavailable,272919.04
Товары для дома,2015-04-07,Пакеты для спортзала,591,295,2004-02-02,964,3.49,New,55695.84
Овощи,2027-06-01,Бамия,6233,296,2019-01-08,372,4.26,Pending,587397.9199999999
Фрукты,2020-12-01,Манго,4408,297,1990-02-04,40,1.47,Awaiting Review,415409.92
Фрукты,2003-05-15,Ананас,6980,298,1995-02-08,378,4.34,Awaiting Review,657795.2
Овощи,2022-01-04,Лук-порей,3193,299,2003-05-05,535,2.57,Returned,300908.32
Мясо,2020-06-14,Панчетта,762,300,2012-03-17,120,4.86,Backorder,71810.87999999999
Напитки,1997-05-02,Славяновская,1472,301,1990-05-04,185,1.32,Cancelled,138721.28
Мясо,2026-02-14,Фарш индюшиный,5267,302,2014-05-11,127,1.91,Awaiting Payment,496362.07999999996
Бакалея,2016-01-19,Растительное масло кокосовое,4107,303,2014-01-03,564,1.71,New,387043.68
Фрукты,2002-02-16,Помело,8763,304,2001-01-04,894,4.47,Temporarily Unavailable,825825.12
Мясо,2028-01-03,Сосиски,3222,305,2013-05-09,610,1.04,Shipping,303641.27999999997
Овощи,2028-02-27,Фенхель,6449,306,1991-04-08,547,2.62,Sold,607753.76
Мясо,2012-01-11,Буженина,4122,307,1990-05-08,8,2.78,Cancelled,388457.27999999997
Овощи,2015-01-12,Турнепс,9085,308,2012-04-02,316,4.49,Cancelled,856170.3999999999
Товары для дома,2018-01-10,Вилки,5118,309,2013-01-02,891,1.42,Cancelled,482320.31999999995
Напитки,2018-05-04,Безалкогольный мохито,2833,310,2018-03-06,136,3.02,Returned,266981.92
Напитки,2023-03-06,7UP,8944,311,2020-03-07,973,2.69,Out of Stock,842882.5599999999
Бакалея,2019-01-19,Чай черный,5992,312,2016-02-01,140,2.25,Backorder,564686.08
Молочные продукты,2020-07-04,Ласси,8930,313,2001-03-11,560,4.68,Returned,841563.2
Бакалея,2028-12-07,Мед,6244,314,2012-01-01,976,4.53,Shipping,588434.5599999999
Молочные продукты,2018-03-02,Сливки,8334,315,2005-01-28,207,3.66,Backorder,785396.1599999999
Товары для дома,2022-01-10,Пакеты для растений,4129,316,2019-01-16,55,1.78,Returned,389116.95999999996
Молочные продукты,2008-05-16,Сметана,3415,317,1993-07-02,796,0.67,Sold,321829.6
Мясо,2025-06-02,Тефтели,491,318,2016-03-07,689,0.55,Sold,46271.84
Молочные продукты,2022-06-06,Российский сыр,8357,319,1992-10-18,290,3.6,Delivered,787563.6799999999
Бакалея,2007-01-01,Сушеные грибы,1642,320,1999-12-17,804,2.05,Returned,154742.08
Бакалея,2010-01-10,Каша из перловки,5010,321,2006-07-08,681,0.2,In Stock,472142.39999999997
Товары для дома,2011-09-03,Швабра,2243,322,2009-03-07,725,0.83,Temporarily Unavailable,211380.31999999998
Бакалея,2029-01-03,Просо,3309,323,2019-03-17,841,3.82,Sold,311840.16
Товары для дома,2021-05-07,Пакеты для садовых работ,1758,324,1998-12-01,696,4.97,Cancelled,165673.91999999998
Товары для дома,2006-03-06,Пакеты для бассейна,4083,325,2004-02-13,726,0.67,Returned,384781.92
Бакалея,2018-01-07,Каша из дробленной булгурной крупы,8551,326,2017-04-03,125,4.97,Shipping,805846.24
Фрукты,2021-03-01,Карамбола,1424,327,2011-05-02,866,4.19,Delivered,134197.75999999998
Фрукты,2012-01-13,Инжир,9181,328,1999-02-08,655,4.52,In Stock,865217.44
Мясо,2028-01-06,Язык,2967,329,2022-06-08,203,4.88,Shipping,279610.07999999996
Фрукты,2023-04-18,Нектарин,8205,330,2004-03-02,991,3.16,Delivered,773239.2
Овощи,2028-01-01,Шпинат,3594,331,2010-05-13,388,1.87,Temporarily Unavailable,338698.56
Фрукты,2026-07-10,Авокадо,8346,332,2019-07-12,124,1.44,New,786527.0399999999
Товары для дома,2018-01-11,Пакеты для детских вещей,8195,333,2005-01-11,734,0.29,On Backorder,772296.7999999999
Товары для дома,2022-01-08,Зубная щетка,654,334,2000-01-03,346,1.42,Available for Pickup,61632.96
Овощи,2029-10-03,Помидор,3194,335,2007-08-07,224,4.22,Backorder,301002.56
Бакалея,2016-05-11,Каша из теффа,3224,336,2000-06-01,69,0.19,Sold,303829.76
Овощи,2022-04-03,Фенхель,9797,337,2017-02-15,898,1.84,On Backorder,923269.2799999999
Бакалея,2008-07-03,Каша из дробленной кускусовой крупы,8869,338,2006-10-01,194,1.22,Pending,835814.5599999999
Фрукты,2009-07-09,Малина,1163,339,1994-02-20,55,0.1,Refunded,109601.12
Мясо,2027-05-01,Карпаччо,2059,340,2020-05-02,31,3.17,Cancelled,194040.16
Напитки,2007-02-19,Пиво безалкогольное,6806,341,2003-02-08,82,1.6,Pending,641397.44
Товары для дома,2025-07-06,Пакеты для растений,2613,342,2018-05-07,805,1.45,Temporarily Unavailable,246249.12
Молочные продукты,2030-05-05,Эмменталь,1216,343,2003-09-02,815,4.67,Awaiting Review,114595.84
Фрукты,2007-04-03,Апельсин,9848,344,1992-05-22,516,3.25,Awaiting Payment,928075.5199999999
Овощи,1999-06-11,Бамия,8794,345,1990-01-01,322,4.16,Shipping,828746.5599999999
Мясо,2021-08-15,Утиная печень,9148,346,2005-01-02,940,0.38,Returned,862107.5199999999
Мясо,2026-03-28,Панчетта,8306,347,2021-01-04,286,3.46,Delivered,782757.44
Мясо,2002-01-01,Косуля,5478,348,1999-01-10,863,0.48,Returned,516246.72
Товары для дома,2026-02-01,Пакеты для спортивного инвентаря,667,349,2017-05-07,840,2.77,Shipping,62858.079999999994
Молочные продукты,2026-01-06,Голландский сыр,9041,350,2019-02-04,262,0.78,On Backorder,852023.84
Бакалея,2017-01-02,Петрушка сушеная,5745,351,2013-01-21,624,2.06,Backorder,541408.7999999999
Напитки,2022-09-14,Кумыс,8143,352,2001-05-04,100,3.11,Available for Pickup,767396.32
Фрукты,2014-04-08,Гранат,1251,353,1996-02-16,169,1.95,Pending,117894.23999999999
Товары для дома,2026-01-05,Салфетки влажные,3703,354,2019-07-18,287,1.62,On Backorder,348970.72
Мясо,2019-03-10,Кесадилья с мясом,5837,355,2017-04-14,234,1.73,Cancelled,550078.88
Молочные продукты,2028-01-08,Брынза,9596,356,2009-04-09,591,3.66,Delivered,904327.0399999999
Фрукты,2018-05-15,Дыня,6694,357,2006-11-07,739,0.09,Returned,630842.5599999999
Бакалея,2020-02-01,Куркума молотая,4958,358,2001-02-27,145,3.18,Shipping,467241.92
Бакалея,2028-03-09,Растительное масло кокосовое,8209,359,2018-06-22,935,3.1,Available for Pickup,773616.1599999999
Напитки,2025-07-04,Выборгская,2843,360,2007-01-13,379,2.38,Cancelled,267924.32
Фрукты,2021-03-08,Смородина,305,361,2020-03-10,60,1.97,Awaiting Review,28743.199999999997
Мясо,2026-03-04,Шаверма,6612,362,2013-03-02,247,2.01,Available for Pickup,623114.88
Бакалея,2029-01-02,Кориандр молотый,8789,363,2010-11-06,466,4.47,Temporarily Unavailable,828275.36
Мясо,2016-05-16,Куриные грудки,4910,364,1998-04-03,87,2.38,Awaiting Review,462718.39999999997
Фрукты,2026-05-04,Клюква,2910,365,2002-06-01,599,2.32,Returned,274238.39999999997
Товары для дома,2010-01-06,Штопоры,9647,366,2001-02-02,782,0.46,Awaiting Payment,909133.2799999999
Овощи,2006-05-07,Цветная капуста,2760,367,2000-04-04,355,2.74,Backorder,260102.4
Фрукты,2015-02-06,Рамбутан,7565,368,1995-11-04,833,2.73,In Stock,712925.6
Молочные продукты,2026-06-04,Масло сливочное,2486,369,1991-07-05,233,3.34,Available for Pickup,234280.63999999998
Напитки,2010-02-24,Тархун,1155,370,2008-05-21,614,1.77,New,108847.2
Молочные продукты,2024-02-06,Сметана,5278,371,2002-02-10,498,0.81,Temporarily Unavailable,497398.72
Мясо,2020-05-22,Пельмени,3877,372,1992-05-10,936,3.2,New,365368.48
Мясо,2023-09-01,Козлятина,7321,373,2006-07-14,857,4.14,Available for Pickup,689931.0399999999
Бакалея,2005-03-11,Сметана,9762,374,1991-01-05,288,2.4,Sold,919970.88
Товары для дома,2007-02-17,Мягкие игрушки,9624,375,2001-02-01,307,0.64,Temporarily Unavailable,906965.7599999999
Молочные продукты,2015-11-07,Чеддер,1215,376,2006-07-06,507,3.23,Delivered,114501.59999999999
Молочные продукты,2026-02-11,Адыгейский сыр,1831,377,2016-01-24,145,4.1,New,172553.44
Фрукты,2030-05-06,Виноград,2022,378,2019-05-03,38,3.84,Out of Stock,190553.28
Молочные продукты,2024-01-09,Верблюжье молоко,4501,379,2000-02-02,353,0.87,Backorder,424174.24
Напитки,2018-03-07,Амурская,8094,380,2015-03-05,580,4.37,Refunded,762778.5599999999
Молочные продукты,2030-03-06,Чеддер,7274,381,2020-02-08,424,4.6,New,685501.76
Напитки,2004-01-20,Безалкогольный мохито,1517,382,2003-02-04,678,4.45,Awaiting Review,142962.08
Фрукты,2021-10-02,Кокос,9798,383,2004-02-09,327,3.83,Cancelled,923363.5199999999
Бакалея,2016-01-01,Томатная паста,7862,384,1992-02-01,782,3.6,Awaiting Payment,740914.88
Товары для дома,2030-09-21,Расческа,1637,385,2001-06-01,559,4.12,Refunded,154270.88
Напитки,1995-04-07,Sprite Zero,7645,386,1992-10-04,407,1.37,Cancelled,720464.7999999999
Товары для дома,2015-03-13,Подушки,3186,387,1992-09-15,397,1.31,In Stock,300248.63999999996
Напитки,2026-03-15,Кристалл Байкала,4303,388,2006-06-09,668,1.31,Available for Pickup,405514.72
Бакалея,2016-01-04,"Сухофрукты (изюм, курага, чернослив)",7042,389,2009-01-22,438,3.32,Sold,663638.08
Напитки,2027-01-16,Рязанская,1815,390,2002-11-03,339,3.51,Returned,171045.59999999998
Молочные продукты,2012-01-02,Российский сыр,3243,391,2007-03-07,436,3.11,Available for Pickup,305620.32
Овощи,2018-03-01,Шпинат,5292,392,2017-01-01,533,0.19,Awaiting Payment,498718.07999999996
Бакалея,2004-01-11,Каша из дробленной поленты,255,393,1991-03-01,440,0.52,On Backorder,24031.199999999997
Товары для дома,2022-01-17,Хлебопечка,847,394,1993-06-05,989,1.3,Shipping,79821.28
Овощи,2027-04-09,Шпинат,7947,395,2017-02-05,122,4.63,Refunded,748925.2799999999
Бакалея,2020-01-10,Чай черный,6528,396,2018-10-12,480,4.53,Available for Pickup,615198.72
Напитки,2009-02-04,Сок яблочный,660,397,1995-02-19,346,4.76,Sold,62198.399999999994
Молочные продукты,2029-06-11,Шубат,4806,398,1999-07-13,535,1.37,In Stock,452917.44
Товары для дома,2011-02-14,Мультиварка,448,399,2003-06-07,388,1.28,Sold,42219.52
Напитки,2014-09-10,Севастопольская,2880,400,2006-01-09,457,4.15,Refunded,271411.2
Овощи,2020-08-10,Укроп,1974,401,2007-05-11,170,2.86,Refunded,186029.75999999998
Молочные продукты,2000-07-09,Йогурт,4008,402,1991-03-07,830,0.47,Awaiting Payment,377713.92
Мясо,2022-03-21,Шашлык,1477,403,2021-06-06,420,1.36,On Backorder,139192.47999999998
Напитки,2021-01-17,Химкинская,9415,404,2002-08-08,520,0.01,Delivered,887269.6
Напитки,2012-04-24,Анапская,836,405,2001-06-11,73,1.67,Available for Pickup,78784.64
Напитки,2027-05-07,Пензенская,5613,406,2003-06-13,638,2.17,Awaiting Payment,528969.12
Молочные продукты,2009-02-08,Эмменталь,9348,407,1997-02-01,220,4.86,New,880955.5199999999
Напитки,2011-01-07,Химкинская,5106,408,2008-01-18,690,1.4,Backorder,481189.44
Молочные продукты,2013-06-07,Брынза,5510,409,2012-02-08,570,4.8,Refunded,519262.39999999997
Молочные продукты,2018-02-22,Фета,2304,410,1996-05-08,500,3.93,Delivered,217128.96
Овощи,2019-02-10,Петрушка корневая,9582,411,1994-06-08,930,2.37,Backorder,903007.6799999999
Товары для дома,2001-01-11,Мешки для мусора,5714,412,1994-02-06,489,2.26,Awaiting Payment,538487.36
Овощи,2011-08-11,Пастернак,2693,413,1997-05-07,844,3.94,Cancelled,253788.31999999998
Фрукты,2010-01-10,Авокадо,9996,414,1996-01-08,562,3.99,Temporarily Unavailable,942023.0399999999
Фрукты,2013-10-01,Черешня,7165,415,2010-04-02,246,3.35,Shipping,675229.6
Овощи,2017-02-14,Фенхель,8002,416,1993-02-25,167,2.76,Returned,754108.48
Товары для дома,2026-07-02,Доски разделочные,5359,417,2021-08-20,32,3.73,Delivered,505032.16
Напитки,2026-02-01,Кисель ягодный,1952,418,2005-01-13,604,4.41,In Stock,183956.47999999998
Бакалея,2008-09-12,Темный шоколад,7707,419,1990-08-01,203,3.78,Backorder,726307.6799999999
Фрукты,2018-02-09,Персик,5837,420,1995-01-22,825,3.05,New,550078.88
Мясо,2029-04-03,Зельц,9657,421,2016-03-14,282,1.57,In Stock,910075.6799999999
Напитки,2024-07-17,Родники Алтая,4221,422,2021-02-05,270,3.61,Backorder,397787.04
Фрукты,2016-05-09,Груша,5920,423,1996-02-12,158,3.86,Out of Stock,557900.7999999999
Мясо,2026-01-07,Телятина,5072,424,2021-01-05,400,0.9,In Stock,477985.27999999997
Фрукты,2014-01-06,Персик,1266,425,1999-03-03,173,2.77,New,119307.84
Овощи,2029-10-06,Сельдерей,2841,426,2014-01-17,757,1.45,In Stock,267735.83999999997
Товары для дома,1995-05-13,Подставки под горячие блюда,6095,427,1990-05-04,254,1.37,Returned,574392.7999999999
Напитки,1993-01-02,Люберецкая,2223,428,1991-01-17,508,1.88,Cancelled,209495.52
Бакалея,2025-05-03,Консервированные бобы,4178,429,2002-04-07,22,2.88,Sold,393734.72
Мясо,2026-08-02,Шаурма,5544,430,2022-04-03,912,4.21,On Backorder,522466.56
Овощи,2027-02-02,Ямс,9715,431,1992-08-01,480,2.01,Shipping,915541.6
Фрукты,2029-02-01,Инжир,8197,432,2006-02-08,70,1.52,In Stock,772485.2799999999
Мясо,2017-01-10,Хамон,8774,433,2003-07-12,528,1.28,Shipping,826861.76
Бакалея,2016-05-02,Укроп сушеный,4812,434,2015-01-06,629,2.41,Out of Stock,453482.87999999995
Фрукты,2020-01-20,Хурма,8665,435,2012-04-13,677,3.92,Refunded,816589.6
Молочные продукты,2003-03-13,Катык,7449,436,2001-10-02,26,2.6,New,701993.76
Овощи,2030-01-01,Чечевица,321,437,2010-11-17,683,2.61,In Stock,30251.039999999997
Фрукты,2022-01-13,Клюква,8594,438,2010-05-07,72,4.21,Available for Pickup,809898.5599999999
Молочные продукты,2030-03-09,Топлёное молоко,6712,439,1995-11-08,801,1.01,Temporarily Unavailable,632538.88
Бакалея,2024-01-07,Каша из риса дикого,250,440,2001-11-05,387,1.9,Backorder,23560.0
Товары для дома,2013-05-02,Пакеты для Дня космонавтики,8999,441,1990-01-18,107,1.17,Sold,848065.76
Овощи,2030-03-03,Баклажан,3891,442,2010-01-05,114,3.36,New,366687.83999999997
Мясо,2028-10-03,Салями,2344,443,2014-06-03,567,0.93,Out of Stock,220898.56
Напитки,1997-01-20,Читинская,4611,444,1990-02-19,874,0.86,Pending,434540.63999999996
Товары для дома,2025-07-01,Кухонные ножи,1852,445,2022-03-14,725,4.08,New,174532.47999999998
Бакалея,1998-01-08,Плавленые сырки,8741,446,1990-02-02,694,0.48,In Stock,823751.84
Товары для дома,2005-05-10,Пакеты для рыбалки,212,447,2004-02-27,387,1.86,Sold,19978.879999999997
Молочные продукты,2027-01-26,Пармезан,7739,448,2018-08-03,10,0.16,Delivered,729323.36
Овощи,2025-01-03,Патиссон,5947,449,2002-01-04,980,0.79,Sold,560445.2799999999
Молочные продукты,2011-03-09,Кефир,2235,450,2007-03-18,417,1.83,Awaiting Review,210626.4
Фрукты,2006-02-15,Лимон,6864,451,1999-06-15,318,1.28,Returned,646863.36
Мясо,2023-04-12,Куриные бедра,3795,452,2020-03-01,32,2.39,Awaiting Payment,357640.8
Напитки,2012-09-03,Симферопольская,4469,453,2009-02-04,131,1.0,Refunded,421158.56
Овощи,2018-01-02,Огурец,1511,454,2004-10-17,302,2.74,Cancelled,142396.63999999998
Напитки,2022-01-02,Sprite Zero,4674,455,2004-04-02,142,3.9,On Backorder,440477.75999999995
Овощи,2023-04-23,Спаржа,1173,456,2018-04-02,778,3.27,Backorder,110543.51999999999
Мясо,2021-03-04,Ромштекс,9271,457,2016-02-08,498,2.31,In Stock,873699.0399999999
Молочные продукты,2022-02-04,Пармезан,5071,458,2019-01-05,394,4.52,Shipping,477891.04
Напитки,2016-01-01,Боржоми,6273,459,1999-05-07,894,0.05,Awaiting Review,591167.52
Напитки,2023-12-04,Саратовская,7635,460,2020-08-05,436,1.51,Temporarily Unavailable,719522.3999999999
Напитки,2027-05-03,Омская,5756,461,2016-03-04,7,2.18,Sold,542445.44
Напитки,2010-08-01,Сок морковный,6094,462,2003-05-09,237,0.08,Backorder,574298.5599999999
Молочные продукты,2017-04-06,Масло сливочное,7540,463,1993-01-07,335,1.09,Awaiting Review,710569.6
Фрукты,2017-01-01,Хурма,1208,464,1999-04-07,675,3.81,New,113841.92
Молочные продукты,2026-02-01,Мороженое,519,465,1997-07-04,977,1.71,Returned,48910.56
Бакалея,2023-01-16,Каша из камута,4919,466,1999-03-01,573,0.58,Pending,463566.56
Товары для дома,2025-01-06,Пакеты для Дня Земли,435,467,2012-01-08,454,2.91,Shipping,40994.399999999994
Напитки,2014-04-17,Ялтинская,2900,468,2012-08-14,891,3.53,Cancelled,273296.0
Овощи,2022-09-02,Кольраби,6835,469,2003-10-02,554,0.55,Sold,644130.3999999999
Фрукты,2016-08-01,Смородина,3427,470,1990-03-03,5,4.92,Refunded,322960.48
Товары для дома,2008-02-01,Пакеты для лекарств,8430,471,2007-07-22,273,4.48,Returned,794443.2
Напитки,2015-02-04,Источник Троицкий,5563,472,2015-01-22,401,4.31,Sold,524257.12
Бакалея,2026-01-02,Гвоздика молотая,3331,473,1995-01-21,221,3.21,On Backorder,313913.44
Мясо,2029-03-09,Пепперони,9439,474,2007-03-28,371,1.57,Delivered,889531.36
Овощи,2016-06-11,Горох,8828,475,1999-04-11,223,1.16,On Backorder,831950.72
Товары для дома,2006-01-07,Пакеты для мастер-класса,2527,476,1996-02-11,223,2.13,Delivered,238144.47999999998
Напитки,2029-03-01,Aquafina,2835,477,2011-04-11,382,2.48,Available for Pickup,267170.39999999997
Бакалея,2013-02-06,Белый перец молотый,541,478,1994-03-02,281,2.5,New,50983.84
Бакалея,2030-05-13,"Семечки (тыквенные, подсолнечника)",4743,479,2001-01-07,54,1.19,Backorder,446980.31999999995
Мясо,2025-04-03,Сардельки,4638,480,1994-09-02,5,4.38,In Stock,437085.12
Бакалея,2013-01-02,Каша из дробленой гречихи,6572,481,1992-06-02,13,0.98,Out of Stock,619345.2799999999
Напитки,2000-06-01,Ессентуки,3900,482,1999-10-15,597,1.67,Pending,367536.0
Бакалея,1995-02-20,Плавленые сырки,6950,483,1995-02-18,551,1.59,Backorder,654968.0
Молочные продукты,2023-09-19,Ряженка,9811,484,1992-04-15,733,3.68,Awaiting Payment,924588.6399999999
Молочные продукты,2018-03-02,Молоко,6797,485,2007-05-16,786,2.52,Backorder,640549.2799999999
Товары для дома,2009-02-01,Пакеты для хранения одежды,9839,486,1993-04-04,165,0.54,On Backorder,927227.36
Мясо,2010-08-05,Сало,1720,487,2010-08-02,602,2.55,Delivered,162092.8
Товары для дома,2024-05-06,Мягкие игрушки,4104,488,2018-05-14,339,1.43,Temporarily Unavailable,386760.95999999996
Напитки,2019-02-01,Смузи бананово-клубничный,6764,489,2007-07-07,401,0.05,Delivered,637439.36
Напитки,2029-04-02,Смузи мангово-ананасовый,7022,490,2019-06-02,360,2.91,Returned,661753.2799999999
Товары для дома,2017-03-05,Пакеты для Всемирного дня окружающей среды,3762,491,2015-06-06,811,4.29,Awaiting Payment,354530.88
Молочные продукты,2022-04-22,Топлёное молоко,6260,492,2015-06-07,581,1.59,Refunded,589942.4
Молочные продукты,2024-04-21,Сыр,6409,493,2021-01-04,689,2.81,Cancelled,603984.1599999999
Мясо,1995-01-14,Плечо,431,494,1990-03-06,866,1.85,New,40617.439999999995
Напитки,2029-02-02,Ростовская,6238,495,2015-01-03,241,2.14,New,587869.12
Напитки,2015-03-03,Кубай,155,496,2010-05-04,991,4.78,Shipping,14607.199999999999
Фрукты,2026-05-06,Слива,7353,497,2021-04-04,101,2.53,Awaiting Review,692946.72
Овощи,1990-10-01,Огурец,2513,498,1990-04-06,878,1.49,Awaiting Review,236825.12
Мясо,2025-06-06,Кострец,3596,499,2000-01-16,309,4.69,New,338887.04
Бакалея,2007-07-07,Петрушка сушеная,8685,500,2007-04-08,700,0.84,New,818474.3999999999
Бакалея,2030-01-01,Томатная паста,9919,501,1992-08-11,886,1.7,Out of Stock,934766.5599999999
Мясо,2025-01-06,Куриные ножки,1830,502,2011-01-03,369,2.6,Refunded,172459.19999999998
Напитки,2005-02-07,Пиво безалкогольное,1743,503,2001-07-05,312,3.72,Available for Pickup,164260.31999999998
Товары для дома,2011-02-06,Пакеты для выставки,4391,504,2007-05-04,681,4.05,Awaiting Payment,413807.83999999997
Бакалея,2029-11-03,Мелисса сушеная,6680,505,2021-09-09,790,1.47,Awaiting Review,629523.2
Молочные продукты,2026-02-05,Верблюжье молоко,9275,506,2000-09-11,752,4.17,Pending,874076.0
Молочные продукты,2023-05-09,Курт,832,507,2022-01-18,986,1.01,Out of Stock,78407.68
Бакалея,2029-06-19,Каша из пшена,5747,508,2021-06-05,357,2.54,Refunded,541597.28
Овощи,2015-02-04,Патиссон,4060,509,1993-03-16,210,2.24,Pending,382614.39999999997
Напитки,2012-06-14,Крымская,6988,510,2000-03-03,917,4.07,Awaiting Payment,658549.12
Мясо,2021-05-12,Студень,9730,511,2000-09-12,699,3.21,Available for Pickup,916955.2
Молочные продукты,2027-03-02,Гауда,4866,512,2018-01-03,814,1.92,On Backorder,458571.83999999997
Товары для дома,2019-01-16,Парфюм,1916,513,1996-01-10,549,2.12,Pending,180563.84
Напитки,2017-05-09,Старый источник,285,514,2009-01-03,696,1.29,Pending,26858.399999999998
Фрукты,2028-04-15,Ананас,2642,515,2009-05-06,143,4.74,Temporarily Unavailable,248982.08
Молочные продукты,2025-01-11,Шубат,7478,516,2018-03-24,422,3.64,Returned,704726.72
Бакалея,2026-03-08,Бадьян,9345,517,2008-07-06,648,1.98,Delivered,880672.7999999999
Фрукты,2021-01-01,Авокадо,2758,518,2019-02-01,670,4.76,Backorder,259913.91999999998
Напитки,2015-01-13,Тюменская,5383,519,2012-02-02,737,4.6,On Backorder,507293.92
Молочные продукты,2025-03-02,Гауда,3075,520,2001-03-04,377,1.89,On Backorder,289788.0
Молочные продукты,2021-02-01,Простокваша,9011,521,2017-03-03,39,4.38,New,849196.6399999999
Мясо,2029-03-06,Варено-копченая колбаса,547,522,2012-04-03,131,4.73,Sold,51549.28
Мясо,2019-01-08,Балык,819,523,2017-04-14,306,0.32,Sold,77182.56
Молочные продукты,2019-02-06,Адыгейский сыр,7359,524,1992-03-09,125,4.36,On Backorder,693512.1599999999
Овощи,2024-06-01,Перец болгарский,4098,525,1991-03-09,622,3.11,Shipping,386195.51999999996
Молочные продукты,2025-06-04,Сметана,1617,526,2004-01-07,608,2.26,In Stock,152386.08
Фрукты,2024-07-04,Яблоко,621,527,2002-02-04,60,4.76,Shipping,58523.03999999999
Мясо,2013-01-01,Сэндвичи с ветчиной,5637,528,2009-03-20,72,3.86,Sold,531230.88
Фрукты,2023-03-04,Персик,3303,529,2020-01-02,217,3.06,Temporarily Unavailable,311274.72
Бакалея,1992-01-01,Каша из дробленной гречки,1695,530,1990-01-23,936,3.88,Sold,159736.8
Товары для дома,2030-03-04,Пакеты для походов,8296,531,1996-03-02,242,0.25,Available for Pickup,781815.0399999999
Бакалея,2028-01-15,Тэфф,8614,532,2022-06-02,120,4.85,Sold,811783.36
Мясо,2007-04-03,Мортаделла,2258,533,1998-02-17,553,4.54,Sold,212793.91999999998
Мясо,2021-01-02,Козлятина,5600,534,1998-09-03,410,3.58,Returned,527744.0
Фрукты,2030-05-01,Инжир,1524,535,2010-03-01,6,1.89,Awaiting Payment,143621.75999999998
Товары для дома,2011-06-04,Пакеты для ярмарки,1393,536,2007-06-18,947,1.1,Shipping,131276.32
Бакалея,2019-02-01,Мелисса сушеная,7646,537,1998-08-03,34,4.49,Shipping,720559.0399999999
Мясо,2027-06-15,Шея,3355,538,2009-11-05,521,4.63,New,316175.2
Мясо,2014-02-01,Козлятина,487,539,2011-05-12,319,3.61,Temporarily Unavailable,45894.88
Товары для дома,2004-01-05,Миксер,7424,540,1996-01-18,619,4.38,Awaiting Review,699637.76
Бакалея,2015-04-02,Овсянка,7670,541,2015-01-05,802,2.58,Temporarily Unavailable,722820.7999999999
Молочные продукты,2025-03-21,Шубат,2426,542,2012-04-18,394,1.83,On Backorder,228626.24
Овощи,2004-06-03,Капуста белокочанная,6759,543,1999-02-17,127,4.02,Temporarily Unavailable,636968.1599999999
Товары для дома,2018-05-02,Пакеты для Всемирного дня музыки,1320,544,2004-06-05,132,1.18,Cancelled,124396.79999999999
Бакалея,2027-03-02,Крахмал картофельный,4920,545,2013-01-09,273,0.14,Out of Stock,463660.8
Бакалея,2018-01-01,Каша из дробленной ячневой крупы,7477,546,2012-05-06,629,4.45,Shipping,704632.48
Фрукты,2030-02-06,Персик,8614,547,1991-07-04,54,0.68,Delivered,811783.36
Овощи,2016-04-01,Ямс,8842,548,2014-01-06,235,2.73,Awaiting Review,833270.08
Овощи,2028-04-17,Чечевица,6850,549,2015-01-02,388,4.43,Sold,645544.0
Бакалея,2009-01-18,Корица молотая,5583,550,2006-08-10,726,2.42,Refunded,526141.9199999999
Напитки,2022-11-02,Ессентуки,815,551,2007-06-12,834,3.18,Returned,76805.59999999999
Товары для дома,2004-01-12,Дезодорант,2144,552,1993-07-04,568,4.97,Temporarily Unavailable,202050.56
Молочные продукты,2006-01-03,Катык,5062,553,2001-02-10,541,4.88,Delivered,477042.87999999995
Бакалея,2019-03-01,Кофе молотый,6152,554,2017-07-19,311,4.61,Pending,579764.48
Бакалея,2019-07-11,Тмин молотый,1592,555,1992-05-07,470,3.97,New,150030.08
Напитки,2019-09-10,Сибирская,4358,556,2013-08-13,663,1.19,Out of Stock,410697.92
Фрукты,2024-02-04,Айва,4213,557,1994-02-03,346,2.16,Returned,397033.12
Напитки,2029-02-08,Самарская,8404,558,2018-05-02,956,3.39,Backorder,791992.96
